"Year","Province","Normalization","Measure","Value"
2005,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9612.26497918384
2006,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9297.83515533414
2007,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9605.86468259793
2008,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9551.70129008395
2009,"British Columbia","Real Per Capita ($ 2020)","Expenditure",10003.147950812
2010,"British Columbia","Real Per Capita ($ 2020)","Expenditure",10734.10611719
2011,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9982.85539627898
2012,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9893.72067954426
2013,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9767.56115731689
2014,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9477.94457479537
2015,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9594.98368409559
2016,"British Columbia","Real Per Capita ($ 2020)","Expenditure",9825.74615616521
2017,"British Columbia","Real Per Capita ($ 2020)","Expenditure",10197.1936930827
2018,"British Columbia","Real Per Capita ($ 2020)","Expenditure",10341.5396026264
2019,"British Columbia","Real Per Capita ($ 2020)","Expenditure",10638.8904424413
2020,"British Columbia","Real Per Capita ($ 2020)","Expenditure",16123.2974839552
2021,"British Columbia","Real Per Capita ($ 2020)","Expenditure",13695.6208507282
2022,"British Columbia","Real Per Capita ($ 2020)","Expenditure",11331.8910448019
1961,"Manitoba","Real Per Capita ($ 2020)","Expenditure",3923.18043488762
1962,"Manitoba","Real Per Capita ($ 2020)","Expenditure",3937.73786270917
1963,"Manitoba","Real Per Capita ($ 2020)","Expenditure",3805.94965675057
1964,"Manitoba","Real Per Capita ($ 2020)","Expenditure",3927.89634146341
1965,"Manitoba","Real Per Capita ($ 2020)","Expenditure",4056.99481865285
1966,"Manitoba","Real Per Capita ($ 2020)","Expenditure",4512.89719626168
1967,"Manitoba","Real Per Capita ($ 2020)","Expenditure",4809.38080282433
1968,"Manitoba","Real Per Capita ($ 2020)","Expenditure",4964.5390070922
1969,"Manitoba","Real Per Capita ($ 2020)","Expenditure",5064.48618967868
1970,"Manitoba","Real Per Capita ($ 2020)","Expenditure",5599.46679762865
1971,"Manitoba","Real Per Capita ($ 2020)","Expenditure",6199.65741014431
1972,"Manitoba","Real Per Capita ($ 2020)","Expenditure",6596.33573008623
1973,"Manitoba","Real Per Capita ($ 2020)","Expenditure",6862.42155642511
1974,"Manitoba","Real Per Capita ($ 2020)","Expenditure",7232.11831352593
1975,"Manitoba","Real Per Capita ($ 2020)","Expenditure",7920.07206231271
1976,"Manitoba","Real Per Capita ($ 2020)","Expenditure",8288.56593524707
1977,"Manitoba","Real Per Capita ($ 2020)","Expenditure",8875.33751249555
1978,"Manitoba","Real Per Capita ($ 2020)","Expenditure",9164.17887552097
1979,"Manitoba","Real Per Capita ($ 2020)","Expenditure",9573.24597598316
1980,"Manitoba","Real Per Capita ($ 2020)","Expenditure",9849.6456343977
1981,"Manitoba","Real Per Capita ($ 2020)","Expenditure",9816.59635527888
1982,"Manitoba","Real Per Capita ($ 2020)","Expenditure",10281.5203279667
1983,"Manitoba","Real Per Capita ($ 2020)","Expenditure",10483.2892478504
1984,"Manitoba","Real Per Capita ($ 2020)","Expenditure",11232.0409973653
1985,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12047.7230841713
1986,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12185.8154439845
1987,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12596.2235277247
1988,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13102.0489353576
1989,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12995.0082046769
1990,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13159.8859490767
1991,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13517.8660683177
1992,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13111.4803867028
1993,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12928.1964380754
1994,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13406.2032782998
1995,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13587.7939461069
1996,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13025.1203231882
1997,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12616.4426942296
1998,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12411.6121467167
1999,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12974.032216989
2000,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13155.1343040422
2001,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13026.4961022714
2002,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12694.1176470588
2003,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13235.6299523537
2004,"Manitoba","Real Per Capita ($ 2020)","Expenditure",12782.7851498738
2005,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14048.5216298891
2006,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13642.6654637708
2007,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13940.7390543777
2008,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14272.9675281097
2009,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14472.7186072395
2010,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14517.109900959
2011,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14113.6818018748
2012,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13689.5267075432
2013,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13543.1755658135
2014,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13122.7384017574
2015,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13261.7522407411
2016,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13433.0944223009
2017,"Manitoba","Real Per Capita ($ 2020)","Expenditure",14043.9958915437
2018,"Manitoba","Real Per Capita ($ 2020)","Expenditure",13921.3330891149
2019,"Manitoba","Real Per Capita ($ 2020)","Expenditure",15009.3274922327
2020,"Manitoba","Real Per Capita ($ 2020)","Expenditure",20586.3359607478
2021,"Manitoba","Real Per Capita ($ 2020)","Expenditure",19104.7958167984
2022,"Manitoba","Real Per Capita ($ 2020)","Expenditure",16771.653599182
1961,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",4148.05993003201
1962,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",4181.00732886325
1963,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",4225.31591347184
1964,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",4413.91678622669
1965,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",4741.46341463415
1966,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",5027.16369529984
1967,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",5636.31996156618
1968,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",5794.23560600911
1969,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",6061.88366904847
1970,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",6392.70810454645
1971,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",7184.10472592291
1972,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",7821.76791422711
1973,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",8155.786022369
1974,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",9818.80598608218
1975,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",11582.6472177378
1976,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",11733.1394623451
1977,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",12119.1130757944
1978,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",12319.3728367006
1979,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",12536.2436322989
1980,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15492.9020858711
1981,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15358.3831200267
1982,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14244.322837486
1983,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",12862.0216117856
1984,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",13585.3466094103
1985,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14308.0132782699
1986,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",13956.0682328964
1987,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14145.7769448786
1988,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14584.7465474448
1989,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14897.9200223748
1990,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15433.1364893733
1991,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14734.7443361023
1992,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15350.4580141448
1993,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14853.8462494685
1994,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14738.8055014886
1995,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14857.3741227902
1996,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14453.8035092118
1997,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",13560.369793436
1998,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14000.5334528915
1999,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14493.1697782718
2000,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14188.8606548226
2001,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14610.230381672
2002,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",13982.5880870916
2003,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14234.3914676078
2004,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",13986.1239823258
2005,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15282.058007999
2006,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",14823.1192043317
2007,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15431.8422773139
2008,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",15780.2611546874
2009,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16599.4913193415
2010,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16966.1111853774
2011,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16725.4589124586
2012,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16447.8523904495
2013,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16316.4294249164
2014,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16094.7896974757
2015,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16368.1676562034
2016,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",16671.2517193948
2017,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",17369.4742003958
2018,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",17505.4371889871
2019,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",18205.9038498919
2020,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",23741.9788256322
2021,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",21695.0773695175
2022,"New Brunswick","Real Per Capita ($ 2020)","Expenditure",19100.7818378176
1961,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",3524.91569876358
1962,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",3832.15995494227
1963,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",3721.08285479902
1964,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",3771.61862527716
1965,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",4297.13114754098
1966,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",4459.91902834008
1967,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",5028.86187845304
1968,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",5218.9349112426
1969,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",5707.90991079789
1970,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",6096.65823458927
1971,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",6827.60105442088
1972,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",7414.76812765671
1973,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",7797.66459647089
1974,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",9481.74705218708
1975,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",10502.6129010191
1976,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",9997.58093361241
1977,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",10976.4251399138
1978,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",11506.1584251524
1979,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",11212.5246678069
1980,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",11711.3512283208
1981,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",12073.7219123806
1982,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",12647.4597727897
1983,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",12464.6634413558
1984,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",13217.9792414865
1985,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",14703.8971127703
1986,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",14537.8179427545
1987,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",14869.0197717358
1988,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15674.4721153753
1989,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15762.9960280958
1990,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16694.7250280584
1991,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16076.2843040391
1992,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16895.1007483076
1993,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16260.2484123645
1994,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16397.0816856952
1995,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16344.7201967572
1996,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16424.4930400177
1997,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15614.1533742429
1998,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",17022.692892422
1999,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16979.6212748158
2000,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15892.1039726758
2001,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16000.705482809
2002,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15202.049738104
2003,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",14944.7971612793
2004,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",14368.0528919639
2005,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",21976.5828552066
2006,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15900.1932215517
2007,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",18647.0551936713
2008,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",20323.5721698678
2009,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",19016.2734502271
2010,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",18863.312479517
2011,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",17568.2736635452
2012,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16102.8380919929
2013,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15271.9252431274
2014,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15429.7131224407
2015,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15097.4731498667
2016,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15289.4206601676
2017,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",16166.2119115675
2018,"Newfoundland and Labrador","Real Per Capita ($ 2020)","Expenditure",15098.4976345072
